Set,Run #1,Run #1,Run #1,Run #1,Run #1
Internal Pressure P1 (kPa),Time (s),Internal Pressure P0 (kPa),Ambient Pressure (kPa),Differential Pressure₁₋₂ (kPa),Calc1 (units)
,43.4,114.82,99.9,14.92,114.82
,43.6,114.82,99.9,14.92,114.82
,43.8,114.82,99.9,14.92,114.82
,44,114.82,99.9,14.92,114.82
,44.2,114.82,99.9,14.92,114.82
,44.4,114.82,99.9,14.92,114.82
,44.6,114.82,99.9,14.92,114.82
,44.8,114.82,99.9,14.92,114.82
,45,114.81,99.9,14.91,114.81
,45.2,114.81,99.9,14.91,114.81
,45.4,114.81,99.9,14.91,114.81
,45.6,114.81,99.9,14.91,114.81
,45.8,114.81,99.9,14.91,114.81
,46,114.81,99.9,14.91,114.81
,46.2,114.8,99.9,14.9,114.8
,46.4,114.8,99.9,14.9,114.8
,46.6,114.8,99.9,14.9,114.8
,46.8,114.8,99.9,14.9,114.8
,47,114.8,99.9,14.9,114.8
,47.2,114.8,99.9,14.9,114.8
,47.4,114.8,99.9,14.9,114.8
,47.6,114.8,99.9,14.89,114.8
,47.8,114.8,99.9,14.89,114.8
,48,114.8,99.9,14.89,114.8
,48.2,114.79,99.9,14.89,114.79
,48.4,114.79,99.9,14.89,114.79
,48.6,114.79,99.9,14.89,114.79
,48.8,114.79,99.9,14.89,114.79
,49,114.79,99.9,14.89,114.79
,49.2,114.79,99.9,14.89,114.79
,49.4,114.79,99.9,14.89,114.79
,49.6,114.79,99.9,14.89,114.79
,49.8,114.79,99.9,14.89,114.79
,50,114.79,99.9,14.89,114.79
,50.2,114.79,99.9,14.89,114.79
,50.4,114.79,99.9,14.89,114.79
,50.6,114.79,99.9,14.88,114.79
,50.8,114.79,99.9,14.88,114.79
,51,114.79,99.9,14.88,114.79
,51.2,114.79,99.9,14.89,114.79
,51.4,114.79,99.9,14.89,114.79
,51.6,114.79,99.9,14.88,114.79
,51.8,114.79,99.9,14.89,114.79
,52,114.78,99.9,14.88,114.78
,52.2,114.78,99.9,14.88,114.78
,52.4,114.78,99.9,14.88,114.78
,52.6,114.78,99.9,14.88,114.78
,52.8,114.78,99.9,14.88,114.78
,53,114.78,99.9,14.88,114.78
,53.2,114.78,99.9,14.88,114.78
,53.4,114.78,99.9,14.88,114.78
,53.6,114.78,99.9,14.88,114.78
,53.8,114.78,99.9,14.88,114.78
,54,114.78,99.9,14.88,114.78
,54.2,114.78,99.9,14.87,114.78
,54.4,114.78,99.9,14.88,114.78
,54.6,114.77,99.9,14.87,114.77
,54.8,114.77,99.9,14.88,114.77
,55,114.78,99.9,14.88,114.78
,55.2,114.78,99.9,14.88,114.78
,55.4,114.77,99.9,14.87,114.77
,55.6,114.78,99.9,14.87,114.78
,55.8,114.77,99.9,14.87,114.77
,56,114.77,99.9,14.87,114.77
,56.2,114.77,99.9,14.87,114.77
,56.4,114.77,99.9,14.87,114.77
,56.6,114.77,99.9,14.87,114.77
,56.8,114.77,99.9,14.86,114.77
,57,114.77,99.9,14.87,114.77
,57.2,114.76,99.9,14.86,114.76
,57.4,114.77,99.9,14.87,114.77
,57.6,114.76,99.9,14.86,114.76
,57.8,114.76,99.9,14.86,114.76
,58,114.76,99.9,14.87,114.76
,58.2,114.76,99.9,14.86,114.76
,58.4,114.76,99.9,14.86,114.76
,58.6,114.76,99.9,14.86,114.76
,58.8,114.76,99.9,14.86,114.76
,59,114.76,99.9,14.86,114.76
,59.2,114.76,99.9,14.86,114.76
,59.4,114.76,99.9,14.86,114.76
,59.6,114.76,99.9,14.86,114.76
,59.8,114.76,99.9,14.86,114.76
,60,114.75,99.9,14.85,114.75
,60.2,114.75,99.9,14.85,114.75
,60.4,114.76,99.9,14.86,114.76
,60.6,114.76,99.9,14.86,114.76
,60.8,114.75,99.9,14.85,114.75
,61,114.75,99.9,14.85,114.75
,61.2,114.75,99.9,14.86,114.75
,61.4,114.75,99.9,14.85,114.75
,61.6,114.75,99.9,14.85,114.75
,61.8,114.75,99.9,14.85,114.75
,62,114.75,99.9,14.86,114.75
,62.2,114.75,99.9,14.85,114.75
,62.4,114.75,99.9,14.85,114.75
,62.6,114.75,99.9,14.85,114.75
,62.8,114.75,99.9,14.85,114.75
,63,114.75,99.9,14.85,114.75
,63.2,114.75,99.9,14.85,114.75
,63.4,114.75,99.9,14.85,114.75
,63.6,114.75,99.9,14.85,114.75
,63.8,114.75,99.9,14.86,114.75
,64,114.75,99.9,14.85,114.75
,64.2,114.75,99.9,14.85,114.75
,64.4,114.75,99.9,14.85,114.75
,64.6,114.75,99.9,14.85,114.75
,64.8,114.75,99.9,14.85,114.75
,65,114.75,99.9,14.85,114.75
